episode,env_id,limit
0,0,0.8563712239265442
0,1,0.9060664772987366
0,2,0.9915187954902649
0,3,0.9698938131332397
0,4,0.850856602191925
0,5,0.7782280445098877
0,6,0.9627395272254944
0,7,0.9566153287887573
0,8,0.9952782988548279
0,9,0.8680474162101746
0,10,0.9905772805213928
0,11,0.8758668303489685
0,12,0.774745762348175
0,13,0.7969920039176941
0,14,0.9972834587097168
0,15,0.9448218941688538
1,0,0.9713034629821777
1,1,0.7368019819259644
1,2,0.8218626379966736
1,3,0.8387335538864136
1,4,0.8351221084594727
1,5,0.8792564272880554
1,6,0.7697982788085938
1,7,0.85223388671875
1,8,0.8738659024238586
1,9,0.8375182747840881
1,10,0.8933006525039673
1,11,0.7645506858825684
1,12,0.7670990228652954
1,13,0.9104313850402832
1,14,0.7545033097267151
1,15,0.9732968211174011
2,0,0.9472233653068542
2,1,0.9760635495185852
2,2,0.7287483215332031
2,3,0.7421002984046936
2,4,0.8174707293510437
2,5,0.9068278074264526
2,6,0.8330444693565369
2,7,0.8524332642555237
2,8,0.85246741771698
2,9,0.8554965257644653
2,10,0.760325014591217
2,11,0.706732988357544
2,12,0.9437196850776672
2,13,0.7977268695831299
2,14,0.824935257434845
2,15,0.8952431082725525
3,0,0.8950988054275513
3,1,0.7910943031311035
3,2,0.8420546054840088
3,3,0.796477735042572
3,4,0.8548553586006165
3,5,0.9400214552879333
3,6,0.9150147438049316
3,7,0.883082389831543
3,8,0.960124671459198
3,9,0.8999223113059998
3,10,0.8594634532928467
3,11,0.7579691410064697
3,12,0.9675489068031311
3,13,0.9387388825416565
3,14,0.9154397249221802
3,15,0.825972318649292
4,0,0.9794555902481079
4,1,0.7440937757492065
4,2,0.9847224950790405
4,3,0.8653513789176941
4,4,0.9894216060638428
4,5,0.7285622954368591
4,6,0.9061810970306396
4,7,0.7601135969161987
4,8,0.9722165465354919
4,9,0.8846331238746643
4,10,0.8706075549125671
4,11,0.9845156669616699
4,12,0.9891598224639893
4,13,0.9382853507995605
4,14,0.8345606327056885
4,15,0.8991708159446716
5,0,0.8538196682929993
5,1,0.9324456453323364
5,2,0.9624777436256409
5,3,0.8934349417686462
5,4,0.8753905892372131
5,5,0.9503319263458252
5,6,0.7197912335395813
5,7,0.9364671111106873
5,8,0.7641403079032898
5,9,0.8966622352600098
5,10,0.8661094903945923
5,11,0.8472464084625244
5,12,0.7059577703475952
5,13,0.9672352075576782
5,14,0.7289738655090332
5,15,0.7707435488700867
6,0,0.7624805569648743
6,1,0.9746091365814209
6,2,0.8697046637535095
6,3,0.8915848731994629
6,4,0.7760586142539978
6,5,0.7398083806037903
6,6,0.9699991345405579
6,7,0.8900484442710876
6,8,0.920250654220581
6,9,0.7897918820381165
6,10,0.8396859169006348
6,11,0.7991775274276733
6,12,0.9662652611732483
6,13,0.7424228191375732
6,14,0.7371872663497925
6,15,0.7724387049674988
7,0,0.7306166887283325
7,1,0.9651447534561157
7,2,0.7042773365974426
7,3,0.9973183870315552
7,4,0.8207881450653076
7,5,0.9513205289840698
7,6,0.7754752039909363
7,7,0.9677145481109619
7,8,0.9465449452400208
7,9,0.9297524094581604
7,10,0.9742337465286255
7,11,0.9906580448150635
7,12,0.8263801336288452
7,13,0.7721729874610901
7,14,0.7542932629585266
7,15,0.8522031307220459
8,0,0.9907025694847107
8,1,0.8063803911209106
8,2,0.7440099120140076
8,3,0.7270607948303223
8,4,0.8730074763298035
8,5,0.7268354892730713
8,6,0.9156944155693054
8,7,0.7403275966644287
8,8,0.8721973299980164
8,9,0.7459280490875244
8,10,0.7948054075241089
8,11,0.8870987892150879
8,12,0.7201529145240784
8,13,0.9634842276573181
8,14,0.760723888874054
8,15,0.8588217496871948
9,0,0.8763929605484009
9,1,0.7254998087882996
9,2,0.7179337739944458
9,3,0.9970641732215881
9,4,0.7316849231719971
9,5,0.9969432353973389
9,6,0.8269684314727783
9,7,0.932712197303772
9,8,0.7513768672943115
9,9,0.7357187271118164
9,10,0.8298851251602173
9,11,0.824550449848175
9,12,0.9521471858024597
9,13,0.9548842310905457
9,14,0.9379773139953613
9,15,0.938692569732666
10,0,0.7834061980247498
10,1,0.9460723996162415
10,2,0.776031494140625
10,3,0.943392276763916
10,4,0.8768340349197388
10,5,0.8074257969856262
10,6,0.767792284488678
10,7,0.9600051045417786
10,8,0.8191234469413757
10,9,0.9838624596595764
10,10,0.9552960395812988
10,11,0.9546972513198853
10,12,0.7567275166511536
10,13,0.9050115346908569
10,14,0.9456135630607605
10,15,0.7841687202453613
11,0,0.7474290728569031
11,1,0.8073582053184509
11,2,0.7860277891159058
11,3,0.9238448739051819
11,4,0.9391316771507263
11,5,0.7795634865760803
11,6,0.8741295337677002
11,7,0.9386858940124512
11,8,0.7685403227806091
11,9,0.8963899612426758
11,10,0.9151875972747803
11,11,0.7605932950973511
11,12,0.7462502717971802
11,13,0.9375331401824951
11,14,0.9564322233200073
11,15,0.7262856364250183
12,0,0.8159841895103455
12,1,0.7372202277183533
12,2,0.8057684302330017
12,3,0.979429304599762
12,4,0.7045199275016785
12,5,0.9710611701011658
12,6,0.9601727724075317
12,7,0.738813579082489
12,8,0.8264732360839844
12,9,0.9621740579605103
12,10,0.9141160249710083
12,11,0.8312774300575256
12,12,0.8849861025810242
12,13,0.8675238490104675
12,14,0.9744710326194763
12,15,0.8822125792503357
13,0,0.8717713952064514
13,1,0.9922136068344116
13,2,0.9814387559890747
13,3,0.721048891544342
13,4,0.855673611164093
13,5,0.7789686918258667
13,6,0.764394998550415
13,7,0.9682728052139282
13,8,0.961803674697876
13,9,0.7628282904624939
13,10,0.984913170337677
13,11,0.7072485685348511
13,12,0.9092530608177185
13,13,0.7343432903289795
13,14,0.8647462129592896
13,15,0.7805365324020386
14,0,0.867607057094574
14,1,0.7570168375968933
