episode,env_id,noise_sigma
0,0,0.02211672067642212
0,1,0.04384581372141838
0,2,0.013706132769584656
0,3,0.007931402884423733
0,4,0.04618800804018974
0,5,0.018962224945425987
0,6,0.03852250799536705
0,7,0.03528006002306938
0,8,0.03848119080066681
0,9,0.0459606871008873
0,10,0.047985631972551346
0,11,0.04012564942240715
0,12,0.009589127264916897
0,13,0.014957427978515625
0,14,0.0075218649581074715
0,15,0.022778887301683426
1,0,0.0030987560749053955
1,1,0.021966515108942986
1,2,0.040854692459106445
1,3,0.020975647494196892
1,4,0.0027707696426659822
1,5,0.04430743679404259
1,6,0.015858182683587074
1,7,0.022160112857818604
1,8,0.027338270097970963
1,9,0.00775089580565691
1,10,0.01605110429227352
1,11,0.008289167657494545
1,12,0.03744053095579147
1,13,0.0008420765516348183
1,14,0.010641655884683132
1,15,0.0222073532640934
2,0,0.012198460288345814
2,1,0.007417261600494385
2,2,0.040187910199165344
2,3,0.02081267535686493
2,4,0.01046117302030325
2,5,0.032104041427373886
2,6,0.006523683667182922
2,7,0.004349008202552795
2,8,0.04411623254418373
2,9,0.011339775286614895
2,10,0.046596162021160126
2,11,0.02399539388716221
2,12,0.025171896442770958
2,13,0.01330808736383915
2,14,0.002474808832630515
2,15,0.02921331487596035
3,0,0.031811777502298355
3,1,0.04903451353311539
3,2,0.012990373186767101
3,3,0.021592307835817337
3,4,0.02416037954390049
3,5,0.018567083403468132
3,6,0.01144267339259386
3,7,0.0041006775572896
3,8,0.020022744312882423
3,9,0.030483419075608253
3,10,0.01948215626180172
3,11,0.025331521406769753
3,12,0.0441991463303566
3,13,0.025550810620188713
3,14,0.01334710419178009
3,15,0.005189299583435059
4,0,0.02086663618683815
4,1,0.042620789259672165
4,2,0.01934225857257843
4,3,0.0286807119846344
4,4,0.041372474282979965
4,5,0.03481457754969597
4,6,0.025313256308436394
4,7,0.00847556907683611
4,8,0.021916372701525688
4,9,0.044202495366334915
4,10,0.03288498520851135
4,11,0.035515349358320236
4,12,0.025823265314102173
4,13,0.03173566982150078
4,14,0.004018017556518316
4,15,0.0016106665134429932
5,0,0.04787581413984299
5,1,0.022172411903738976
5,2,0.04374349117279053
5,3,0.01742284558713436
5,4,0.04491019248962402
5,5,0.027185887098312378
5,6,0.039729438722133636
5,7,0.025970173999667168
5,8,0.0442345105111599
5,9,0.04920445755124092
5,10,0.006502792239189148
5,11,0.02088143862783909
5,12,0.04967745766043663
5,13,0.045641981065273285
5,14,0.015275269746780396
5,15,0.04965751990675926
6,0,0.03320016711950302
6,1,0.049661800265312195
6,2,0.03377014398574829
6,3,0.03172153979539871
6,4,0.01802162639796734
6,5,0.018452394753694534
6,6,0.01780824363231659
6,7,0.020524397492408752
6,8,0.04926074668765068
6,9,0.009540843777358532
6,10,0.03652433305978775
6,11,0.04005052521824837
6,12,0.0450088307261467
6,13,0.03549258038401604
6,14,0.020640933886170387
6,15,0.041975926607847214
7,0,0.036650400608778
7,1,0.015869349241256714
7,2,0.002502760384231806
7,3,0.035099487751722336
7,4,0.049689408391714096
7,5,0.024154966697096825
7,6,0.03156976029276848
7,7,0.04974266141653061
7,8,0.01938990131020546
7,9,0.024916624650359154
7,10,0.02479303441941738
7,11,0.007100057788193226
7,12,0.04597878456115723
7,13,0.010749021545052528
7,14,0.016712171956896782
7,15,0.04458276182413101
8,0,0.026189729571342468
8,1,0.03912065550684929
8,2,0.015936896204948425
8,3,0.046978726983070374
8,4,0.018934695050120354
8,5,0.0276840478181839
8,6,0.007129365112632513
8,7,0.049278803169727325
8,8,0.008794105611741543
8,9,0.02001471258699894
8,10,0.042215149849653244
8,11,0.04679277166724205
8,12,0.011633536778390408
8,13,0.003146582981571555
8,14,0.00950053334236145
8,15,0.04189009591937065
9,0,0.024430153891444206
9,1,0.019040141254663467
9,2,0.03815249726176262
9,3,0.0015094488626345992
9,4,0.044329773634672165
9,5,0.003409305354580283
9,6,0.03126059100031853
9,7,0.024648431688547134
9,8,0.005051344633102417
9,9,0.022782085463404655
9,10,0.022616282105445862
9,11,0.016784057021141052
9,12,0.022323405370116234
9,13,0.045531924813985825
9,14,0.024784469977021217
9,15,0.04536537453532219
10,0,0.031579598784446716
10,1,0.02830546163022518
10,2,0.004655909724533558
10,3,0.025340234860777855
10,4,2.613365722936578e-05
10,5,0.014158743433654308
10,6,0.0015058994758874178
10,7,0.03319643437862396
10,8,0.023316223174333572
10,9,0.011502760462462902
10,10,0.013877726159989834
10,11,0.03161565586924553
10,12,0.00407584011554718
10,13,0.04201054573059082
10,14,0.008184793405234814
10,15,0.015984246507287025
11,0,0.03295053169131279
11,1,0.04559915140271187
11,2,0.02608407847583294
11,3,0.042122405022382736
11,4,0.04701078683137894
11,5,0.006198618095368147
11,6,0.010614195838570595
11,7,0.018657585605978966
11,8,0.0024752169847488403
11,9,0.021787894889712334
11,10,0.03511190786957741
11,11,0.015502789989113808
11,12,0.049614690244197845
11,13,0.029393767938017845
11,14,0.011507046408951283
11,15,7.16656431904994e-05
12,0,0.007206508424133062
12,1,0.03317184001207352
12,2,0.03338112682104111
12,3,0.007920491509139538
12,4,0.004631114192306995
12,5,0.025318672880530357
12,6,0.04218321293592453
12,7,0.048060085624456406
12,8,0.00255374307744205
12,9,0.028797870501875877
12,10,0.04499005526304245
12,11,0.011105397716164589
12,12,0.03862360492348671
12,13,0.02185385301709175
12,14,0.004968899767845869
12,15,0.036622874438762665
13,0,0.012697840109467506
13,1,0.031024565920233727
13,2,0.011403939686715603
13,3,0.030477678403258324
13,4,0.009475183673202991
13,5,0.0032411515712738037
13,6,0.002638170262798667
13,7,0.013466539792716503
13,8,0.01008103508502245
13,9,0.036796748638153076
13,10,0.026205170899629593
13,11,0.04460102319717407
13,12,0.04026942700147629
13,13,0.04075200483202934
13,14,0.03203568980097771
13,15,0.034141164273023605
14,0,0.021462982520461082
14,1,0.04562344774603844
14,2,0.013498404994606972
14,3,0.00045809149742126465
14,4,0.03767849877476692
14,5,0.02769111469388008
14,6,0.03282436728477478
14,7,0.035820506513118744
14,8,0.006838217377662659
14,9,0.007827780209481716
14,10,0.006411954760551453
14,11,0.040417931973934174
14,12,0.04387466609477997
14,13,0.03608209267258644
14,14,0.035953085869550705
14,15,0.02938472293317318
15,0,0.048954155296087265
15,1,0.024531075730919838
15,2,0.030285263434052467
15,3,0.03171012923121452
15,4,0.01421339251101017
15,5,0.035565268248319626
15,6,0.013519329018890858
15,7,0.047014158219099045
15,8,0.03572302684187889
15,9,0.009138363413512707
15,10,0.04701725393533707
15,11,0.03576820716261864
15,12,0.04403824731707573
15,13,0.006314209196716547
15,14,0.03752182051539421
15,15,0.020992517471313477
16,0,0.032126735895872116
16,1,0.019718969240784645
16,2,0.03734094649553299
16,3,0.04854992404580116
16,4,0.02775156870484352
16,5,0.024970516562461853
16,6,0.008304974995553493
16,7,0.0013028144603595138
16,8,0.03342851996421814
16,9,0.04309269040822983
16,10,0.018997643142938614
16,11,0.021732771769165993
16,12,0.027447087690234184
16,13,0.03259361907839775
16,14,0.009571787901222706
16,15,0.011212673969566822
17,0,0.00557484058663249
17,1,0.020569825544953346
17,2,0.023812739178538322
17,3,0.029786933213472366
17,4,0.03123530186712742
17,5,0.03261861577630043
17,6,0.049784451723098755
17,7,0.034098267555236816
17,8,0.02478773705661297
17,9,0.019381308928132057
17,10,0.028443709015846252
17,11,0.018349919468164444
17,12,0.01967407576739788
17,13,0.024336282163858414
17,14,0.019704079255461693
17,15,0.02500549890100956
18,0,0.010078671388328075
18,1,0.04928334802389145
18,2,0.012048822827637196
18,3,0.007235249970108271
18,4,0.005044892430305481
18,5,0.007434758823364973
18,6,0.022795353084802628
18,7,0.048057373613119125
18,8,0.03551572561264038
18,9,0.02792658843100071
18,10,0.04150977358222008
18,11,0.016185352578759193
18,12,0.030936647206544876
18,13,0.007349729537963867
18,14,0.017448747530579567
18,15,0.04840799421072006
19,0,0.026474788784980774
19,1,0.04916758835315704
19,2,0.040334224700927734
19,3,0.04517786204814911
19,4,0.001536560128442943
19,5,0.011180060915648937
19,6,0.040479790419340134
19,7,0.017215734347701073
19,8,0.016206661239266396
19,9,0.030839303508400917
19,10,0.03541212156414986
19,11,2.0936131477355957e-05
19,12,0.035349901765584946
19,13,0.03589710593223572
19,14,0.014422065578401089
19,15,0.007726422045379877
20,0,0.0037308037281036377
20,1,0.02573586441576481
20,2,0.020371755585074425
20,3,0.026685765013098717
20,4,0.015310940332710743
20,5,0.04399318993091583
20,6,0.03813420236110687
20,7,0.02253497950732708
20,8,0.04806770756840706
20,9,0.0035796791780740023
20,10,0.022179627791047096
20,11,0.039247121661901474
20,12,0.020363125950098038
20,13,0.037874553352594376
20,14,0.010022386908531189
20,15,0.03127109631896019
21,0,0.023805731907486916
21,1,0.010740783996880054
21,2,0.014517820440232754
21,3,0.040379445999860764
21,4,0.047326501458883286
21,5,0.005307102110236883
21,6,0.04599299654364586
21,7,0.01843380369246006
21,8,0.035189881920814514
21,9,0.015117183327674866
21,10,0.047177571803331375
21,11,0.010259306989610195
21,12,0.025045856833457947
21,13,0.03325928375124931
21,14,0.04674047604203224
21,15,0.010902645997703075
22,0,0.020268475636839867
22,1,0.04327091574668884
22,2,0.025445301085710526
22,3,0.026033757254481316
22,4,0.038050904870033264
22,5,0.01418584305793047
22,6,0.04552554711699486
22,7,0.03341083228588104
22,8,0.01450706459581852
22,9,0.04017004370689392
22,10,0.01046445406973362
22,11,0.040909718722105026
22,12,0.04606921598315239
22,13,0.01226396020501852
22,14,0.005482036154717207
22,15,0.04342394694685936
23,0,0.0013391285901889205
23,1,0.041579000651836395
23,2,0.021542562171816826
23,3,0.036041129380464554
23,4,0.005074325483292341
23,5,0.0028008283115923405
23,6,0.048411183059215546
23,7,0.01907302811741829
23,8,0.04218430072069168
23,9,0.04216625541448593
23,10,0.02861584722995758
23,11,0.007151577156037092
23,12,0.013227484188973904
23,13,0.02043038420379162
23,14,0.038334883749485016
23,15,0.012382564134895802
24,0,0.043796297162771225
24,1,0.03453190252184868
24,2,0.007438573520630598
24,3,0.03423453867435455
24,4,0.0454067625105381
24,5,0.036231037229299545
24,6,0.028540709987282753
24,7,0.0010510504944249988
24,8,0.00317192985676229
24,9,0.0008896618965081871
24,10,0.04575240984559059
24,11,0.029011329635977745
24,12,0.0017761975759640336
24,13,0.010364392772316933
24,14,0.03088092803955078
24,15,0.005648186895996332
25,0,0.0495794340968132
25,1,0.04629072919487953
25,2,0.048127543181180954
25,3,0.013433895073831081
25,4,0.018800154328346252
25,5,0.026856759563088417
25,6,0.04018091410398483
25,7,0.02423323690891266
25,8,0.03662711754441261
25,9,0.046114373952150345
25,10,0.030041951686143875
25,11,0.02731291763484478
25,12,0.00016788244829513133
25,13,0.0325503908097744
25,14,0.0462367869913578
25,15,0.03705596923828125
26,0,0.0006887287017889321
26,1,0.040779322385787964
26,2,0.03865136206150055
26,3,0.032807353883981705
26,4,0.025808095932006836
26,5,0.04155827686190605
26,6,0.03423493355512619
26,7,0.03221213072538376
26,8,0.011605712585151196
26,9,0.02584543637931347
26,10,0.045145224779844284
26,11,0.022621706128120422
26,12,0.021247386932373047
26,13,0.025344887748360634
26,14,0.01675606332719326
26,15,0.03848535940051079
27,0,0.03805321455001831
27,1,0.004818594548851252
27,2,0.021280763670802116
27,3,0.009811562485992908
27,4,0.00865260697901249
27,5,0.02577810361981392
27,6,0.003006812883540988
27,7,0.032432038336992264
27,8,0.006438261363655329
27,9,0.04669952020049095
27,10,0.03108184039592743
27,11,0.005043637938797474
27,12,0.030032603070139885
27,13,0.012029466219246387
27,14,0.012352910824120045
27,15,0.02085239626467228
28,0,0.008585596457123756
28,1,0.020940521731972694
28,2,0.04222971946001053
28,3,0.023780951276421547
28,4,0.015034541487693787
28,5,0.02309328131377697
28,6,0.024454638361930847
28,7,0.012234899215400219
28,8,0.02002634108066559
28,9,0.00027836859226226807
28,10,0.03245356306433678
28,11,0.04549504071474075
28,12,0.04906024411320686
28,13,0.0017522454727441072
28,14,0.00938146747648716
28,15,0.031222781166434288
29,0,0.04430822283029556
29,1,0.021904651075601578
29,2,0.049662861973047256
29,3,0.020629754289984703
29,4,0.03671331703662872
29,5,0.02892928197979927
29,6,0.04294012486934662
29,7,0.020357340574264526
29,8,0.02356082759797573
29,9,0.020261967554688454
29,10,0.017157061025500298
29,11,0.014331698417663574
29,12,0.046105191111564636
29,13,0.02851663902401924
29,14,0.009655955247581005
29,15,0.038599129766225815
